,vintage,country,points
0,1904,France,91.0
1,1919,Spain,88.0
2,1927,Spain,95.0
3,1929,Italy,85.83333333333333
4,1964,Portugal,91.0
5,1976,Germany,88.0
6,1978,Portugal,94.0
7,1980,Portugal,93.0
8,1982,France,95.0
9,1983,Austria,89.0
10,1983,Portugal,92.0
11,1984,Portugal,94.5
12,1985,France,92.0
13,1985,Spain,89.0
14,1986,Portugal,94.0
15,1986,Spain,92.0
16,1988,Austria,88.0
17,1988,France,89.5
18,1989,France,87.0
19,1989,Germany,93.0
20,1989,Portugal,93.0
21,1989,US,86.0
22,1990,France,93.5
23,1990,US,88.0
24,1991,Italy,83.0
25,1991,US,91.5
26,1992,Austria,92.0
27,1992,France,90.83333333333333
28,1992,Italy,90.0
29,1992,Portugal,92.0
30,1992,US,89.6
31,1993,Australia,84.0
32,1993,US,89.5
33,1994,Chile,85.0
34,1994,France,88.33333333333333
35,1994,Germany,90.0
36,1994,Italy,93.0
37,1994,Spain,86.33333333333333
38,1994,US,88.0909090909091
39,1995,France,89.75
40,1995,Germany,90.0
41,1995,Italy,87.3
42,1995,Portugal,92.0
43,1995,South Africa,87.0
44,1995,Spain,86.33333333333333
45,1995,US,88.25
46,1996,Australia,88.0
47,1996,France,90.0
48,1996,Hungary,90.5
49,1996,Israel,80.0
50,1996,Italy,86.81818181818181
51,1996,Mexico,87.5
52,1996,Portugal,88.5
53,1996,South Africa,84.66666666666667
54,1996,Spain,87.0
55,1996,US,87.85714285714286
56,1997,Australia,89.0
57,1997,Canada,89.0
58,1997,Chile,87.11111111111111
59,1997,France,87.08333333333333
60,1997,Italy,88.83783783783784
61,1997,Portugal,89.2
62,1997,South Africa,86.0
63,1997,Spain,84.75
64,1997,US,89.22171945701358
65,1998,Australia,88.9047619047619
66,1998,Austria,88.0
67,1998,Canada,86.25
68,1998,Chile,84.85185185185185
69,1998,France,87.76595744680851
70,1998,Israel,83.33333333333333
71,1998,Italy,87.19607843137256
72,1998,New Zealand,92.0
73,1998,Portugal,87.33333333333333
74,1998,South Africa,86.85714285714286
75,1998,Spain,87.125
76,1998,US,87.47916666666667
77,1999,Argentina,80.0
78,1999,Australia,86.05405405405405
79,1999,Austria,88.0
80,1999,Canada,88.66666666666667
81,1999,Chile,85.2542372881356
82,1999,France,89.45762711864407
83,1999,Germany,92.0
84,1999,Hungary,91.0
85,1999,Israel,83.0
86,1999,Italy,88.75
87,1999,Lebanon,85.0
88,1999,Mexico,83.0
89,1999,New Zealand,86.8
90,1999,Portugal,88.5
91,1999,South Africa,86.76190476190476
92,1999,Spain,86.14285714285714
93,1999,US,87.57716049382717
94,2000,Argentina,84.75
95,2000,Australia,86.14492753623189
96,2000,Austria,86.125
97,2000,Chile,85.36363636363636
98,2000,Cyprus,89.0
99,2000,France,89.73626373626374
100,2000,Hungary,89.75
101,2000,Italy,87.6268656716418
102,2000,Lebanon,91.0
103,2000,Mexico,84.0
104,2000,New Zealand,86.78571428571429
105,2000,Portugal,89.125
106,2000,South Africa,87.1923076923077
107,2000,Spain,85.46666666666667
108,2000,US,87.17878787878787
109,2001,Argentina,82.5
110,2001,Australia,86.25
111,2001,Austria,89.85714285714286
112,2001,Chile,85.5125
113,2001,France,86.86206896551724
114,2001,Germany,91.33333333333333
115,2001,Greece,83.5
116,2001,Hungary,84.0
117,2001,Italy,88.50694444444444
118,2001,Lebanon,83.0
119,2001,Mexico,84.0
120,2001,Moldova,83.0
121,2001,New Zealand,87.21428571428571
122,2001,Portugal,87.66666666666667
123,2001,Romania,86.0
124,2001,South Africa,86.5
125,2001,Spain,88.47727272727273
126,2001,US,87.4046511627907
127,2002,Argentina,88.0
128,2002,Australia,87.61702127659575
129,2002,Austria,89.25
130,2002,Brazil,83.0
131,2002,Canada,86.0
132,2002,Chile,84.95652173913044
133,2002,France,90.59375
134,2002,Hungary,87.0
135,2002,Israel,89.0
136,2002,Italy,87.72857142857143
137,2002,Lebanon,83.0
138,2002,New Zealand,88.66666666666667
139,2002,Portugal,89.14285714285714
140,2002,Romania,88.0
141,2002,South Africa,86.66666666666667
142,2002,Spain,86.1923076923077
143,2002,US,86.79310344827586
144,2003,Argentina,86.4
145,2003,Australia,88.625
146,2003,Austria,87.16666666666667
147,2003,Canada,90.0
148,2003,Chile,89.25
149,2003,France,88.16666666666667
150,2003,Germany,88.33333333333333
151,2003,Greece,87.16666666666667
152,2003,Hungary,85.8
153,2003,Israel,88.66666666666667
154,2003,Italy,89.06432748538012
155,2003,Lebanon,87.0
156,2003,Portugal,89.7
157,2003,South Africa,88.625
158,2003,Spain,87.26582278481013
159,2003,US,87.41666666666667
160,2004,Argentina,87.75675675675676
161,2004,Australia,88.44303797468355
162,2004,Austria,89.06666666666666
163,2004,Brazil,82.0
164,2004,Canada,85.0
165,2004,Chile,88.875
166,2004,Cyprus,85.0
167,2004,France,89.9659090909091
168,2004,Germany,94.0
169,2004,Greece,86.6923076923077
170,2004,Hungary,86.0
171,2004,Israel,85.36363636363636
172,2004,Italy,89.89896907216495
173,2004,Lebanon,86.0
174,2004,Moldova,83.0
175,2004,New Zealand,87.6
176,2004,Portugal,88.8
177,2004,Romania,86.0
178,2004,Slovenia,91.0
179,2004,South Africa,88.13513513513513
180,2004,Spain,87.93406593406593
181,2004,Switzerland,83.0
182,2004,US,87.77818853974122
183,2004,Uruguay,90.0
184,2005,Argentina,86.58108108108108
185,2005,Australia,88.1375
186,2005,Austria,89.24137931034483
187,2005,Brazil,85.0
188,2005,Canada,91.0
189,2005,Chile,88.25333333333333
190,2005,France,89.5344262295082
191,2005,Germany,88.3170731707317
192,2005,Greece,86.33333333333333
193,2005,Hungary,82.0
194,2005,Israel,85.91666666666667
195,2005,Italy,88.99810606060606
196,2005,Lebanon,87.0
197,2005,Mexico,84.0
198,2005,New Zealand,88.44444444444444
199,2005,Portugal,89.2183908045977
200,2005,Romania,84.66666666666667
201,2005,South Africa,87.67692307692307
202,2005,Spain,87.93725490196078
203,2005,US,87.73533163265306
204,2005,Uruguay,87.0
205,2006,Argentina,86.29081632653062
206,2006,Australia,87.69767441860465
207,2006,Austria,89.44347826086957
208,2006,Brazil,83.0
209,2006,Bulgaria,84.57142857142857
210,2006,Canada,89.71428571428571
211,2006,Chile,87.12658227848101
212,2006,Croatia,88.75
213,2006,France,88.98997493734336
214,2006,Germany,89.48484848484848
215,2006,Greece,86.61111111111111
216,2006,Hungary,89.5
217,2006,Israel,86.48275862068965
218,2006,Italy,89.13535589264878
219,2006,Macedonia,86.0
220,2006,Moldova,84.6
221,2006,New Zealand,87.71153846153847
222,2006,Portugal,87.8051948051948
223,2006,Romania,84.0
224,2006,Slovenia,90.0
225,2006,South Africa,87.9090909090909
226,2006,Spain,87.51147540983607
227,2006,Turkey,86.0
228,2006,US,87.64358869315855
229,2006,Uruguay,88.5
230,2007,Argentina,86.24579124579125
231,2007,Australia,87.70454545454545
232,2007,Austria,88.5859375
233,2007,Bosnia and Herzegovina,85.0
234,2007,Brazil,81.0
235,2007,Bulgaria,84.0
236,2007,Canada,88.22222222222223
237,2007,Chile,86.60165975103735
238,2007,Croatia,87.0
239,2007,Cyprus,87.0
240,2007,Czech Republic,89.0
241,2007,France,88.50763358778626
242,2007,Georgia,85.25
243,2007,Germany,88.21212121212122
244,2007,Greece,86.13725490196079
245,2007,Hungary,91.5
246,2007,Israel,87.13636363636364
247,2007,Italy,88.98623481781377
248,2007,Lebanon,83.0
249,2007,Macedonia,85.66666666666667
250,2007,Mexico,89.2
251,2007,New Zealand,87.88695652173914
252,2007,Portugal,88.976
253,2007,Romania,84.66666666666667
254,2007,Serbia,89.0
255,2007,Slovenia,90.25
256,2007,South Africa,87.91780821917808
257,2007,Spain,87.14088397790056
258,2007,Turkey,88.0
259,2007,US,87.93028929940746
260,2007,Uruguay,85.33333333333333
261,2008,Argentina,86.24814814814815
262,2008,Australia,88.29292929292929
263,2008,Austria,89.53623188405797
264,2008,Bulgaria,89.0
265,2008,Canada,89.0
266,2008,Chile,86.42339832869081
267,2008,Croatia,86.2
268,2008,Cyprus,86.0
269,2008,France,89.19224283305228
270,2008,Georgia,86.25
271,2008,Germany,89.38461538461539
272,2008,Greece,87.09803921568627
273,2008,Hungary,88.83333333333333
274,2008,Israel,87.8
275,2008,Italy,88.76886792452831
276,2008,Lebanon,83.66666666666667
277,2008,Macedonia,87.0
278,2008,Mexico,86.25
279,2008,New Zealand,87.94736842105263
280,2008,Peru,85.0
281,2008,Portugal,88.71232876712328
282,2008,Romania,85.0
283,2008,Serbia,86.0
284,2008,Slovakia,87.0
285,2008,Slovenia,87.0
286,2008,South Africa,87.76470588235294
287,2008,Spain,86.83568075117371
288,2008,Turkey,88.0
289,2008,US,88.05845648604269
290,2008,Ukraine,83.5
291,2008,Uruguay,85.75
292,2009,Argentina,86.27044025157232
293,2009,Australia,88.29801324503312
294,2009,Austria,89.43809523809524
295,2009,Brazil,83.66666666666667
296,2009,Bulgaria,86.38461538461539
297,2009,Canada,89.0
298,2009,Chile,86.65171503957784
299,2009,China,89.0
300,2009,Croatia,87.0
301,2009,Czech Republic,88.0
302,2009,England,94.0
303,2009,France,89.03507014028057
304,2009,Georgia,87.8
305,2009,Germany,88.85344827586206
306,2009,Greece,86.84615384615384
307,2009,Hungary,90.0
308,2009,Israel,87.98275862068965
309,2009,Italy,88.42538975501114
310,2009,Lebanon,89.33333333333333
311,2009,Mexico,85.875
312,2009,Moldova,90.0
313,2009,New Zealand,87.15384615384616
314,2009,Peru,81.0
315,2009,Portugal,89.06756756756756
316,2009,Romania,85.88888888888889
317,2009,Serbia,89.0
318,2009,Slovenia,87.23076923076923
319,2009,South Africa,87.9483870967742
320,2009,Spain,87.73905429071804
321,2009,Turkey,89.0
322,2009,US,88.23671613212063
323,2009,Uruguay,86.4
324,2010,Argentina,86.77181208053692
325,2010,Australia,89.74834437086092
326,2010,Austria,90.28571428571429
327,2010,Brazil,81.0
328,2010,Bulgaria,89.8
329,2010,Canada,90.42857142857143
330,2010,Chile,86.53441295546558
331,2010,Croatia,87.2
332,2010,Cyprus,87.0
333,2010,Czech Republic,89.0
334,2010,England,91.78571428571429
335,2010,France,88.8158844765343
336,2010,Georgia,88.28571428571429
337,2010,Germany,90.1651376146789
338,2010,Greece,86.98214285714286
339,2010,Hungary,87.5
340,2010,Israel,88.22413793103448
341,2010,Italy,88.56086461888509
342,2010,Lebanon,89.0
343,2010,Macedonia,84.0
344,2010,Mexico,85.0
345,2010,Moldova,90.0
346,2010,Morocco,87.33333333333333
347,2010,New Zealand,88.4
348,2010,Peru,82.5
349,2010,Portugal,88.40432098765432
350,2010,Romania,87.5
351,2010,Slovenia,87.6
352,2010,South Africa,87.25
353,2010,Spain,87.81302170283806
354,2010,Turkey,88.6
355,2010,US,88.00313295476796
356,2010,Uruguay,86.5
357,2011,Argentina,86.79399141630901
358,2011,Australia,89.453125
359,2011,Austria,89.40082644628099
360,2011,Bosnia and Herzegovina,88.0
361,2011,Brazil,84.75
362,2011,Bulgaria,88.07692307692308
363,2011,Canada,89.73076923076923
364,2011,Chile,86.61663286004057
365,2011,Croatia,87.66666666666667
366,2011,Czech Republic,85.33333333333333
367,2011,England,92.2
368,2011,France,88.39829302987198
369,2011,Germany,90.05172413793103
370,2011,Greece,87.09677419354838
371,2011,Hungary,88.625
372,2011,India,93.0
373,2011,Israel,88.56140350877193
374,2011,Italy,88.56422454804948
375,2011,Lebanon,89.75
376,2011,Macedonia,87.66666666666667
377,2011,Mexico,84.78947368421052
378,2011,Moldova,86.6
379,2011,Morocco,89.0
380,2011,New Zealand,88.12222222222222
381,2011,Portugal,89.31422018348624
382,2011,Romania,86.6
383,2011,Serbia,87.0
384,2011,Slovenia,88.17647058823529
385,2011,South Africa,87.73770491803279
386,2011,Spain,87.93705293276109
387,2011,Turkey,89.2
388,2011,US,88.053647158609
389,2011,Uruguay,86.54545454545455
390,2012,Argentina,87.49130434782609
391,2012,Australia,90.52
392,2012,Austria,90.39455782312925
393,2012,Brazil,86.5
394,2012,Bulgaria,88.4090909090909
395,2012,Canada,90.12280701754386
396,2012,Chile,86.77582846003898
397,2012,Croatia,88.85714285714286
398,2012,Czech Republic,88.0
399,2012,England,89.0
400,2012,France,88.4791277258567
401,2012,Georgia,89.0
402,2012,Germany,89.82428115015975
403,2012,Greece,87.84615384615384
404,2012,Hungary,89.6470588235294
405,2012,India,91.0
406,2012,Israel,89.65822784810126
407,2012,Italy,88.78903345724908
408,2012,Lebanon,89.5
409,2012,Mexico,84.91666666666667
410,2012,Moldova,89.2
411,2012,Morocco,89.125
412,2012,New Zealand,89.28358208955224
413,2012,Peru,85.0
414,2012,Portugal,88.85977859778598
415,2012,Romania,87.375
416,2012,Serbia,87.0
417,2012,Slovenia,87.625
418,2012,South Africa,89.11290322580645
419,2012,Spain,87.56594323873122
420,2012,Switzerland,90.0
421,2012,Turkey,88.5
422,2012,US,88.88621646623497
423,2012,Uruguay,86.375
424,2013,Argentina,87.30656934306569
425,2013,Australia,89.88842975206612
426,2013,Austria,90.77426160337552
427,2013,Brazil,88.5
428,2013,Bulgaria,88.52173913043478
429,2013,Canada,89.54901960784314
430,2013,Chile,86.80657640232108
431,2013,Croatia,91.0
432,2013,Czech Republic,87.66666666666667
433,2013,England,91.05882352941177
434,2013,France,88.5256940342587
435,2013,Georgia,88.84615384615384
436,2013,Germany,89.62068965517241
437,2013,Greece,88.89655172413794
438,2013,Hungary,90.05
439,2013,India,90.0
440,2013,Israel,89.94915254237289
441,2013,Italy,88.76140808344198
442,2013,Lebanon,89.0
443,2013,Macedonia,89.0
444,2013,Mexico,81.66666666666667
445,2013,Moldova,88.18181818181819
446,2013,Morocco,89.5
447,2013,New Zealand,89.18468468468468
448,2013,Peru,83.0
449,2013,Portugal,88.46686303387334
450,2013,Romania,88.2
451,2013,Serbia,88.0
452,2013,Slovenia,88.13333333333334
453,2013,South Africa,89.0
454,2013,Spain,86.61237785016287
455,2013,Turkey,88.54545454545455
456,2013,US,89.323375
457,2013,Uruguay,87.10526315789474
458,2014,Argentina,86.91501416430594
459,2014,Australia,89.2663043478261
460,2014,Austria,90.5990675990676
461,2014,Brazil,84.9
462,2014,Bulgaria,88.9
463,2014,Canada,89.4375
464,2014,Chile,86.1547619047619
465,2014,Cyprus,89.0
466,2014,England,92.27272727272727
467,2014,France,88.78218146085817
468,2014,Georgia,88.37037037037037
469,2014,Germany,89.82077922077922
470,2014,Greece,89.0
471,2014,Hungary,89.83333333333333
472,2014,India,92.0
473,2014,Israel,89.29032258064517
474,2014,Italy,87.96153846153847
475,2014,Lebanon,88.16666666666667
476,2014,Luxembourg,90.0
477,2014,Macedonia,88.0
478,2014,Moldova,87.0
479,2014,Morocco,88.33333333333333
480,2014,New Zealand,88.8265306122449
481,2014,Peru,83.33333333333333
482,2014,Portugal,87.82402234636872
483,2014,Romania,86.36842105263158
484,2014,Serbia,86.0
485,2014,Slovenia,87.77777777777777
486,2014,South Africa,88.72857142857143
487,2014,Spain,86.50354609929079
488,2014,Turkey,87.47619047619048
489,2014,US,89.4057126616456
490,2014,Ukraine,84.0
491,2014,Uruguay,85.5
492,2015,Argentina,86.13888888888889
493,2015,Armenia,87.5
494,2015,Australia,88.4
495,2015,Austria,90.75403225806451
496,2015,Brazil,83.66666666666667
497,2015,Bulgaria,88.16
498,2015,Canada,90.23076923076923
499,2015,Chile,85.83870967741936
500,2015,Croatia,88.5
501,2015,England,91.0
502,2015,France,88.39163346613546
503,2015,Georgia,86.66666666666667
504,2015,Germany,90.12181303116148
505,2015,Greece,88.79629629629629
506,2015,Hungary,89.19047619047619
507,2015,India,88.66666666666667
508,2015,Israel,89.0
509,2015,Italy,88.1787072243346
510,2015,Luxembourg,88.0
511,2015,Moldova,87.35714285714286
512,2015,Morocco,88.0
513,2015,New Zealand,88.39370078740157
514,2015,Portugal,87.37423312883436
515,2015,Romania,86.11764705882354
516,2015,Slovenia,90.0
517,2015,South Africa,87.28985507246377
518,2015,Spain,86.45
519,2015,Turkey,85.77777777777777
520,2015,US,89.1600614439324
521,2015,Uruguay,87.3125
522,2016,Argentina,86.08403361344538
523,2016,Australia,87.81632653061224
524,2016,Austria,90.02155172413794
525,2016,Brazil,83.66666666666667
526,2016,Bulgaria,87.2
527,2016,Canada,85.77777777777777
528,2016,Chile,85.87826086956522
529,2016,France,87.24732229795521
530,2016,Germany,88.80952380952381
531,2016,Greece,87.875
532,2016,Hungary,94.0
533,2016,Israel,87.5
534,2016,Italy,87.91240875912409
535,2016,Morocco,87.5
536,2016,New Zealand,88.27142857142857
537,2016,Portugal,86.5229357798165
538,2016,Romania,85.22222222222223
539,2016,South Africa,87.9
540,2016,Spain,86.24285714285715
541,2016,US,88.3874296435272
542,2016,Uruguay,85.25
543,2017,Argentina,84.83333333333333
544,2017,Brazil,84.0
545,2017,Chile,85.66666666666667
546,2017,Uruguay,91.0
